ticker,market_cap
AAPL,752207537100
ACN,1901675041287
AMD,1465327913913
AMZN,1199323675973
BAC,316257187682
BLK,316209068070
COST,120876806275
CVS,1733021410820
DIS,1204224448427
DPZ,1417604792703
F,46066066120
GILD,1939970155063
INTU,1665723068396
JD,428616525803
JPM,367740809578
KO,370891997157
LUV,611963274704
MA,1051889081106
MCD,866730312191
MSFT,586002134695
NAT,1225646524971
NVDA,283290252000
PBI,587828573827
PFE,735891877370
SBUX,914859618512
SPY,1571426042979
TGT,403349195405
TM,1030897704635
TSLA,1186867064879
UL,97668573376
UNH,1217051979543
WMT,345195626756
XOM,134777928005
